sentence,causal
"ticks that feed on mice are highly likely to become infected with the bacterium that causes lyme disease, whereas those that feed on opossums are not",1
japan’s fukushima disaster accounted for 47% of losses due to earthquakes,1
"clinical studies show that inconsistency causes anxiety, and in more extreme cases, neurosis",1
"the original shish mahal was on gibson street, and had to move after subsidence caused structural damage",1
"for example, chemicals like benzene can cause leukemia",1
"an estimated 1 million women in the u.s. have cervical dysplasia associated with hpv, with 55,000 bearing in situ carcinomas",1
[protonix] protonix only c$0.57 for pill protonix is indicated for the short-term treatment of erosive esophagitis associated with gastroesophageal reflux disease (gerd) more info [bentyl] bentyl only c$0.65 for pill bentyl is used for the treatment of functional bowel/irritable bowel syndrome,1
"(fishman,2003) comparing the number of mris done annually the united states with the number of lumbar surgeries, a neurosurgeon at cedars-sinai hospital in beverly hills, california estimated that piriformis syndrome may be as common a cause of sciatica as herniated disc",1
"it is hypothesized that this suffering is caused by craving, attachment, aversion (all essentially regarded as the same thing, aversion simply being the flip side of craving, desire), and that therefore the solution is to get beyond those things, essentially solving the problem by eliminating its cause",1
the recession from which we are recovering was caused by a credit crisis with inappropriate lending and borrowing and over-leverage which is very much a developed world problem,1
"death can be caused by disease, accident, homicide, or suicide",1
antibiotics can cause several side-effects and can turn the situation into worse,1
"that same day my daughter was on medication (prednisone) and omniplus, which actually reduces all the secondary effects that the medication causes",1
there have been some deaths associated with mdma,1
students have stress and stress causes anxiety and stimulants make the problem worse,1
"failure to cooperate and follow his plan could result in a longer suspension.""",1
"over-the-counter medications that may help treat diarrhea include imodium, pepto-bismol, and kaopectate; however, if your diarrhea is caused by a bacterial infection or a parasite, these drugs will only prolong the problem",1
"in addition to its effect on the esophagus, gerd can also cause complications in other areas, including the teeth, throat, and airways leading to the lungs",1
"this project aims to develop genotypes of brachiaria with higher tolerance to waterlogging and more productivity than the commercial cultivars for livestock systems in humid zones, which are suffering the uncharacteristic periods of waterlogging due to extreme weather events associated with climate change in latin america and the caribbean",1
"next to active smoking and alcohol abuse, secondhand smoke is the third leading cause of poor health and premature death in the developing world",1
"meat, fish, and alcohol, or tamasik foods, on the other hand, cause “pain, disease and discomfort.”",1
"diabetes, high blood pressure, heart attacks, strokes, circulatory disorders, and so many more health problems are associated with obesity",1
"although 90-95 percent of adults with the hepatitis b virus (hbv) recover completely, the virus can cause severe liver disease and death",1
"symptoms caused by venous insufficiency and varicose veins include aching leg pain, easy leg fatigue, and leg heaviness, all of which worsen as the day progresses",1
"death was due to concussion of the brain, caused from a fall on september 6",1
"""american women have far more to fear from the men they know and once loved than from any stranger on the street,"" {829} wrote columnist jane e. brody: ""domestic violence is the leading cause of injury and death to american women, causing more harm than vehicular accidents, rapes and mugging combined",1
"if nsaids are the cause of your ulcer, you should stop taking them",1
"with the surge of internet applying for the loan has become a lot easier left untreated, high blood pressure may lead to heart attack, stroke and kidney or heart failure",1
"lasers can cause immediate disorientation, temporary blindness and contribute to severe eye damage",1
"problems caused by cigarettes due to breathing the toxic smoke, filthy feathers and physical nicotine contact reactions, could be a major factor in many cases of skin and feather problems",1
the collision portion of that insurance coverage can also help to pay for the damages to your car resulting from a collision with another car or object,1
"there might be two main reasons explaining this problem; either you have a genetic make up for weak nails, or you might have nutritional deficiencies which may result in brittle nails",1
"i do agree that we are creating superviruses, though, and certain medicines can cause problems later in life",1
the pamphlet provides information about the social problems associated with underage drinking and the impact on health; gives information about what the law says about underage drinking; and suggests ideas for community action if the public is aware that underage drinking is a problem in their community,1
"description: robamox (amoxicillin) is a penicillin-like antibiotic used to treat certain infections caused by bacteria, such as pneumonia; bronchitis; venereal disease (vd); and ear, lung, nose, urinary tract, and skin infections",1
"[1],[2],[3],[4] obesity is often associated with type 2 diabetes mellitus, hypertension, dyslipidemia, and other cardiovascular disorders in the disease cluster termed the ""metabolic syndrome.""",1
lowering the head is the first step in overcoming the fear of a threat or the fear that is associated with tension and pain,1
"those who cannot tolerate iron tablets or solutions may require administration of intravenous iron sucrose, and blood transfusion if the anemia is causing severe symptoms that warrant rapid improvement of the blood count.27 frequent nosebleeds can be prevented in part by keeping the nostrils moist, and by applying saline solution, estrogen-containing creams or tranexamic acid; these have few side effects and may have a small degree of benefit.7 a number of additional modalities has been used to prevent recurrent bleeding if simple measures are unsuccessful",1
"about 10 percent to 30 percent of people with psoriasis also develop psoriatic arthritis (arsenic as intercurrent remedy), which causes pain, stiffness and swelling in and around the joints",1
they wanted to highlight how the attacks facing basque workers (much the same as the ones we face in scotland at the hands of the condem government) were a result of the crisis caused by the banks,1
"the wealthiest countries in the world have an obligation to help reverse the suffering and death caused by aids, tuberculosis and malaria",1
"in november, he pleaded guilty in court to the charges of assault causing grievous bodily harm and assaulting a police officer, and was remanded in custody to await his sentence",1
"ketoprofen is a non-steroidal anti-inflammatory drug (nsaids) and may be used to treat inflammation, pain, and stiffness caused by arthritis and menstrual cramps",1
dengue (deng-gay) fever is caused by a virus from the flavivirus (flay-vih-vy-rus) group transmitted to humans via the bite of an infected mosquito,1
"it is a unique alkaloid called a xanthine, so the nervousness associated with caffeine is absent from this wondrous drink.better than any other xanthine alkaloid, mate has the ability to increase mental alertness and acuity and to do it without any side effects such as nervousness and jitters",1
it is also important to point out that psychological factors can also have a negative effect on weight loss and lead to obesity,1
"according to the american heart association, untreated high blood pressure can lead to heart disease, congestive heart failure, heart attack, stroke, kidney damage and vision loss, among other health problems",1
"inhalation of zinc chloride can cause nose and throat irritation, dyspnea, cough, chest pain, headache, fever, nausea and vomiting, bilateral diffuse infiltrations, pneumothorax, and acute pneumonitis (itii, 1988; atsdr, 1989; nemery, 1990)",1
"the infection caused by periodontal disease can enter the bloodstream, and potentially affect the heart, liver and kidneys",1
"rationalization blanket a compulsion is a ritual; tinged with either an irrational or a magical quality, designed to reduce the anxiety associated with an obsession",1
"in 1995, approximately 95,000 arrests were made (70% female prostitutes, 20% male prostitutes and 10% customers), mostly streetwalkers; a misdemeanor typically resulting in a fine, occasionally a 30-day jail term",1
the agency suggests the increase since 2005 was partly due to better reporting,1
"symptoms of eriophyid mite damage on conifers may be confused with damage caused by environmental stress, chemicals, and nutrient imbalances",1
"in 2009 for geminiano, hard work will lead to stress, no-eye automediques",1
the damage caused by these volcanos is extensive and widespread,1
"using percutaneous reduction and external fixation for calcaneal fractures can lead to earlier weight-bearing and avoid complications associated with open reduction and internal fixation, according to a study presented at the 25th annual summer meeting of the american orthopaedic foot and ankle society",1
may specialize in bacteria causing animal diseases and be known as veterinary bacteriologist (profess & kin.),1
a popular statin drug called baycol was blamed for several deaths due to rhabdomyolysis and was withdrawn from the marketplace,1
"after the devastation caused by hurricane katrina at the end with the summer of 2005, many folks have been left wondering what caused this kind of a horrible hurricane season",1
"this pain is usually caused by injury, improper position when lifting or bad posture",1
p. ramorum caused significantly more (p < 0.01) disease than the controls on all five oak species in two replicated experiments (25 trees/species/experiment),1
underinflation is the leading cause of tire failure,1
"severe infections may cause bloody diarrhea, dehydration, weight loss, and anemia (low numbers of red blood cells)",1
this book examines attitudes undermining the provision of psychiatric care including psychotherapy and the resulting lack of treatment leading to increased morbidity and mortality,1
"disruption of cyclin action leads to either cell cycle arrest, or to uncontrolled cell cycle proliferation",1
the information must directly lead to the knowledge and proof of kylie's well being,1
children are particularly vulnerable to contamination as chemicals can cause long-term damage in the development phase,1
some of our guests were also able to witness first hand the damage caused by the tsunami and the immediate needs,1
"acneerasingsecrets.com oily skin causes more acne and oily skin is caused by stress, hormonal imbalance and diet",1
trauma causes adhesions and scars to occur as a natural part of the healing process,1
"we study two related human tumor viruses: epstein-barr virus (ebv), which is associated with lymphomas and carcinomas; and kaposi’s sarcoma-associated herpesvirus (kshv), which is associated with kaposi’s sarcoma and lymphomas that occur in patients with aids",1
aeruginosa invariably associated with the respiratory infections causing high mortality in cystic fibrosis ,1
"violence is sometimes attributed to these factors, as well as to other less visible causes such as family, land and water disputes and struggles for control over markets and trade",1
"but in addition, the makers of algonot-plus are using the results of published scientific research to target the inflammation associated with arthritis, as well as other painful inflammatory conditions",1
"calcium deficiency can lead to the following problems: aching joints, brittle nails, eczema, elevated blood cholesterol, heart palpitations, hypertension (high blood pressure), insomnia, muscle cramps, nervousness, numbness in the arms and/or legs, a pasty completion, rheumatoid arthritis, rickets, and tooth decay",1
"death can be caused by disease, accident, homicide, or suicide",1
there remains a need for a medical procedure that can alleviate some of the problems caused by copd,1
food and drug administration (fda) had received so many reports of deaths due to fentanyl that it issued a safety advisory about fentanyl products,1
one thing they tend to think is that reports about gun control leading to genocide are just the rantings of the lunatic fringe,1
"as with cerebral hemorrhages , the cause of a subarachnoid hemorrhage is a ruptured blood vessel",1
the white-cheeked spider monkey was placed on the endangered species list after an assessment in 2008 discovered that their population had decreased by 50% over the course of three generations; this decline can be attributed to habitat loss and hunting,1
"cancers, immune system damage, leukemias, miscarriages, stillbirths, deformities, and fertility problems are just some of the health problems associated with exposure to radiation",1
"an explosion caused damage at a foxconn factory in chengdu, china in may, and resulted in three foxconn worker deaths, 15 injuries and a slowdown in apple ipad production",1
climate change can trigger violence as well,1
"he was active and able to do his work until two weeks before his death, which was caused by apoplexy",1
severe infection results in leaf drop,1
some of vermont’s landmark covered bridges are included in the widespread damage caused by the hurricane,1
"but, when this is seen, then destruction is welcomed, for it is only through destruction resulting in regeneration that we progress",1
"rosenbergii culture is now threatened by a new disease, appendage deformity syndrome (ads), that also results in high mortality ",1
meniere’s disease causes hearing loss and tinnitus,1
or other types of events causing damage,1
failure to do so could result in disciplinary action by ebay and possible suspension or loss of selling privileges,1
"accordingly, the pressure causes pain",1
"around one in a thousand contracts encephalitis, which is an inflammation of the brain causing nausea and vomiting, seizures and even coma",1
* part of an initial client team responding to and investigating an explosion and fire which destroyed a major chemical fertilizer plant in louisiana and resulted in eight deaths and numerous injuries,1
these comments may even trigger a lawsuit,1
"when opposition leader zamenbek nurkadilov was found dead from a gunshot wound to his chest and another through his head, police determined that the cause of death was suicide",1
